date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-08-01,48203,567,16894857,29796.9259259259,1.15322866,357709616.0894648443991939779,310180998.6280436,4342371.39360246,0.000785719592034968,0.1503837384539754648366881363,0.0001,0.0191396192711054,3.23559328,619.28023495347130411712,7087.5,138.416739727125,1356520.515839595225,7087.5,1356520.515839595225,53.09099873,43.330683830684634,0.070175607490965,191.396192711054,,-35.811859943155724,1868948.44156848,4118,155190,35202.73655202,6737669.74906688454410002908,0.571083435938591,109.3031953589934247033508849,0.01076815,2.0609829125415361301,88626.43842331,16962762.88776220158216826874,0.08170376121946543,0.08808845903721124,0.08053126927802937
2017-08-02,50021,590,16197684,27453.7016949153,1.14958021,355508730.4712483145465111224,309250914.75465393,4341706.12737147,0.000692768096980787,0.1312594093386929390408013734,0.0001,0.0189470920948505,3.02878212,573.8661376287653847306,7375,143.465403691262,1397348.041995224375,7375,1397348.041995224375,44.05185254,43.231869394905665,0.07043147251181055,189.470920948505,,-34.67519771552517,1876323.44156848,4372,154074,42593.51952778,8070233.3713666083972969689,0.873169427977465,165.4402156629696011015654398,0.010762775,2.039232891211545901375,134532.7064462,25490035.788056389231752931,0.0816921608938868,0.08805821402113113,0.08028282008828973
2017-08-03,48374,561,15284153,27244.4795008913,1.14588881,355850750.9912324861778994408,310545619.6759366,4084223.36173686,0.000885901182687469,0.1673884059690442290824996896,0.0001,0.0188947039737835,3.5205713,665.2015253209814251355,7012.5,135.905785234914,1324991.1161615679375,7012.5,1324991.1161615679375,51.45830054,43.28118665037501,0.06772911174563966,188.947039737835,,-32.89214817752398,1883335.94156848,3974,147840,36599.26429677,6915322.64545732693643729295,0.512950327049581,96.92044582857264069928659714,0.010762325,2.033509449446495066375,75834.57635101,14328718.71129616880133746335,0.0816954044447382,0.0880319632645102,0.08004865699447428
2017-08-04,54799,583,16261485,27892.7701543739,1.1322768,352831485.2269202623730916091,311612395.00953007,4173562.52667466,0.000861805329402717,0.1608316323939021378208188073,0.0001,0.0186621765852119,3.36190259,627.40419796861242308821,7287.5,140.691025061727,1360006.1186473172125,7287.5,1360006.1186473172125,72.56321216,42.81900069862747,0.06524614121780696,186.621765852119,,-33.976902200122645,1890623.44156848,3901,166106,26054.84770216,4862401.68718512428151687704,0.660589010256222,123.2802875965196987023516344,0.010655905,1.988623807852424112695,109727.79813762,20477595.45150749892053061678,0.08164481597919016,0.0879723691117909,0.07978917374292988
2017-08-05,47529,566,16621595,29366.7756183746,1.23042704,385826654.200699818416394736,313571337.70796144,4278317.81293898,0.000768882942032501,0.1563238534101338299747527857,0.0001,0.02033129425357,3.17010437,644.523247609981451009,7075,136.07931288944,1438439.0684400775,7075,1438439.0684400775,55.91939254,46.585595478409964,0.06280085108445263,203.3129425357,,-29.062101393453755,1897698.44156848,4123,142651,33936.32075209,6899693.230942757575674613,1.28171548209715,260.589346158734880074743255,0.01075682,2.187000726526868474,182837.99523664,37173330.818889578643148048,0.08181506719436968,0.08971147417966109,0.08043203237504203
2017-08-06,54438,576,18218620,31629.5486111111,1.25752825,396830510.0668089593686081802,315563892.0286945,4272613.18695928,0.000859638487928844,0.1790808224699784375982050426,0.0001,0.0208321084949842,4.05921294,845.61964370323789735548,7200,137.960110767697,1499911.8116388624,7200,1499911.8116388624,52.72010899,47.84517712451484,0.06449336160923638,208.321084949842,,-16.74951916914361,1904898.44156848,4722,165189,36132.29331265,7527118.5446171686572741013,0.865084926535786,180.2154304696893011026280458,0.0107051,2.2300980464965535942,142902.51392952,29769606.74385751563552313584,0.08179309288104894,0.08677751189990945,0.08041557686383313
2017-08-07,50103,576,17725035,30772.6302083333,1.25743384,398669126.7290845105266517619,317049782.8479371,4258498.11186701,0.000822939247358206,0.1715813704791601133946491614,0.0001,0.0208498222718104,3.81596929,795.62281491186519102616,7200,137.440622452695,1501187.2035703488,7200,1501187.2035703488,57.7746405,47.88465289265133,0.0614574463161789,208.498222718104,,-16.869518527349996,1912098.44156848,4637,150893,33095.80855769,6900417.26369698193569141976,1.22174952704705,254.7326049959940577156947932,0.0108494,2.2620806175577975376,184353.45138471,38437366.96566042383878578984,0.08172632170130593,0.08677309490332905,0.08032868361480024
2017-08-08,58416,567,20502089,36158.8871252205,1.48556928,476550384.6153069955685628278,320786374.26342183,4356835.91382317,0.000828239089279312,0.2056588931799468381462929665,0.0001,0.0248308605379758,4.61991764,1147.16530615774288313112,7087.5,134.793479045902,1759887.240629034825,7087.5,1759887.240629034825,60.30602346,56.848335483071246,0.07248454339695252,248.308605379758,,2.3228909904201114,1919185.94156848,5578,162261,31824.11691811,7902202.08937825632913761738,1.13726713946765,282.3932173454389084782058287,0.01067518,2.65073905797788500644,184534.10331716,45821405.83968817416931804728,0.08248715861432526,0.09264780009905361,0.08353315185076883
2017-08-09,56629,571,23078331,40417.3922942207,1.43792066,467809853.1337238795563925107,325337737.14530146,4318391.68790001,0.000893254890585242,0.2169279728202941176804818167,0.0001,0.0242851144848664,5.26573758,1278.79039977563343759312,7137.5,135.241436810776,1733350.0463573393,7137.5,1733350.0463573393,35.47321548,55.09905132904162,0.07255318631558912,242.851144848664,,26.266854652094494,1926323.44156848,5895,157426,54303.60387238,13187692.36981582667946950032,1.05304697760306,255.7336640903285591011633118,0.010726435,2.60492701989477923284,165776.97349614,40259127.80308422801928815696,0.08251801541183422,0.08170015567679634,0.08046964691640715
2017-08-10,68332,578,38113457,65940.2370242215,1.36909858,451267725.2956320911039544968,329609373.37816006,4282437.64004343,0.000842623050660793,0.1966584230208928279786766753,0.0001,0.0233388373207535,4.59061038,1071.3950886178240652133,7225,136.38784233721,1686230.996424440375,7225,1686230.996424440375,23.8520898,52.161172495945785,0.06790404123408153,233.388373207535,,29.633050456742783,1933548.44156848,5448,165632,81064.11043133,18919420.85908407708445607155,1.46682068032928,342.3388923692203933535771248,0.01072768,2.5037157834910090688,242952.4429243,56702275.4208988744061946005,0.08260039007155251,0.08101868141392282,0.08059269670902393
2017-08-11,52726,572,36169845,63233.9947552448,1.37957196,457706483.4476190357744367654,331774273.6271498,4453180.78641183,0.000756974603444094,0.178529634682208551965669394,0.0001,0.0235846267325128,3.12100629,736.07768379474596305512,7150,134.474782073344,1686300.8113746652,7150,1686300.8113746652,41.54626975,52.28791024778435,0.06442970744807049,235.846267325128,,10.333035824289071,1940698.44156848,4123,160731,46711.73737702,11016788.90064183233425575856,1.24399278467831,293.3910548457710954656595737,0.01083168,2.55461129686024245504,199948.20427413,47157037.63641576493194933864,0.08254250973514415,0.0749517753631927,0.08006348271803601
2017-08-12,56893,581,16256958,27980.9948364888,1.31619052,437798243.4215843094732978163,332625281.193327,4359728.77719201,0.000752852688,0.169201331160279405144192,0.0001,0.0224746931049384,3.29373051,740.25582382622239750584,7262.5,136.081398935319,1632224.5867461513,7262.5,1632224.5867461513,69.94432675,49.74933696938509,0.05805790408638759,224.746931049384,,16.254219394630795,1947960.94156848,4375,161793,27850.16357995,6259238.7938170881116822508,0.909923121294555,204.5024290018276266827153041,0.010706095,2.40616199477315479548,147219.19156361,33087061.49549271133708731624,0.08256280763373748,0.07303961700864312,0.07651447371635674
